L_0,L_1,L_2,L_3,L_4,L_5,L_6,L_7,L_8,L_9,L_10,L_11,L_12,L_13,L_14,L_15,L_16,L_17,L_18,L_19,L_20,L_21,L_22,L_23,L_24,L_25,L_26,L_27,L_28,L_29,R_0,R_1,R_2,R_3,R_4,R_5,R_6,R_7,R_8,R_9,R_10,R_11,R_12,R_13,R_14,R_15,R_16,R_17,R_18,R_19,R_20,R_21,R_22,R_23,R_24,R_25,R_26,R_27,R_28,R_29,dL_0,dL_1,dL_2,dL_3,dL_4,dL_5,dL_6,dL_7,dL_8,dL_9,dL_10,dL_11,dL_12,dL_13,dL_14,dL_15,dL_16,dL_17,dL_18,dL_19,dL_20,dL_21,dL_22,dL_23,dL_24,dL_25,dL_26,dL_27,dL_28,dR_0,dR_1,dR_2,dR_3,dR_4,dR_5,dR_6,dR_7,dR_8,dR_9,dR_10,dR_11,dR_12,dR_13,dR_14,dR_15,dR_16,dR_17,dR_18,dR_19,dR_20,dR_21,dR_22,dR_23,dR_24,dR_25,dR_26,dR_27,dR_28,label
0.9082213603410098,0.9518967452509635,0.9519135212858573,0.9621337849399627,0.9606273325138277,0.9570928287797097,0.9528765629549687,0.8765634713800441,0.8367074325170839,0.8216410167863089,0.8326833357484144,0.8445277932989107,0.851347596776446,0.8462406739397347,0.8469245206333724,0.8490508638338273,0.8576092938610181,0.8519467273745059,0.8633571423039178,0.8638906147224432,0.8662528455587911,0.8896312514386623,0.9118275643410994,0.9299873979293296,0.938979082144008,0.9545901422985541,0.9589260565531974,0.9561591334627326,0.9478502736959536,0.923450175910459,0.8525461563935837,0.8396562308314318,0.8488548039428494,0.8528099083602213,0.8616049707340173,0.8618185898414804,0.8578151304273745,0.8576676330178379,0.8569073804813818,0.8481452204115436,0.8281353380710674,0.8275434181346953,0.8401433187851541,0.8347185590832867,0.820791325573347,0.8224912923645585,0.8271341754365243,0.8217176757916308,0.8289491798625123,0.8217876298536773,0.8585081959402145,0.8662149294143706,0.8841638246869228,0.8899300450097003,0.8916456038406397,0.9039109856070386,0.9106026390394304,0.9120132516636644,0.9173387805980913,0.9093916151353373,0.05060927423398122,1.9439392514818288e-05,0.011842829252234803,-0.0017456163033686936,-0.004095640350504147,-0.004885638759855561,-0.08842853216110029,-0.04618357010142944,-0.01745835479215635,0.01279539378266416,0.013724879621821154,0.007902513169100523,-0.005917696177555677,0.0007924139632351057,0.0024639207271841693,0.009917163481247984,-0.006561553625111571,0.013221928541138241,0.0006181663191082659,0.0027372578043026704,0.027089953683684106,0.02572019202529516,0.02104288262152794,0.010419200956882927,0.01808946678028115,0.005024282533987743,-0.003206198863693525,-0.009627971530773513,-0.028273849050397832,-0.01493632578111238,0.01065893546483573,0.004583015455856633,0.010191363499099281,0.00024753320465309675,-0.004639047275503887,-0.00017091404834622558,-0.0008809499717955305,-0.010153237636502707,-0.023186644487432143,-0.0006858929451033823,0.014600256612613311,-0.006285992715834886,-0.01613831638755856,0.0019698529435392704,0.00537998561683837,-0.006276421295012035,0.008379575209284142,-0.008298515264026838,0.04255031072839065,0.00893025187175564,0.020798455810256182,0.006681663509335086,0.001987920370216519,0.01421262962375604,0.007754018066169187,0.001634561006959877,0.0061710081053456,-0.009208854761476459,0
0.8873774404966659,0.8715791951083715,0.8439536002428218,0.9253021452071074,0.8788913760789323,0.8795585583104589,0.9090624141616406,0.8496769210695022,0.8177273222986065,0.8181711344471957,0.8238454752953492,0.8368618234193037,0.8399357026381598,0.9065039554312093,0.8872067392765559,0.8479792042186178,0.8303555470563913,0.8300243207447935,0.8345606565741119,0.83825567864754,0.8440781374023275,0.8400342432174817,0.8329243695810241,0.8349154305784824,0.8420074045799918,0.8457703842358288,0.8591041128251689,0.8667782071351153,0.8801711661622242,0.8804264681553363,0.8797646538363549,0.8599891991125945,0.8528716164903942,0.880913785357817,0.8708965952135893,0.8728387375249465,0.8687901817231953,0.8585609225387979,0.8511192638784287,0.9025094081115662,0.9195989293178414,0.9265335528658876,0.9037902362504712,0.8787687824922513,0.8618684160095311,0.8577662648387315,0.8612889032299997,0.8595285686731061,0.8532076507567965,0.8509614253809157,0.8362804630665785,0.8408293555651007,0.8467874950365352,0.8486223978190456,0.849346844410758,0.8434064350620669,0.8583957346430995,0.8568656956527518,0.8650176343904186,0.870722836133474,-0.01830636947837642,-0.032011424955039856,0.09426341242603686,-0.05377892712474982,0.0007731038567601761,0.03418787801895257,-0.0688135138732406,-0.0370219062567077,0.00051427161506723,0.0065751972804213845,0.015082819146032338,0.003561887243122265,0.07713660607287823,-0.022360835659188342,-0.04545528524507287,-0.020421583007629508,-0.0003838116887057671,0.005256522970014841,0.004281642527027113,0.006746830335774077,-0.0046859014567590725,-0.008238634768263371,0.002307161167433315,0.008217893393330023,0.004360389032215374,0.015450586826668042,0.008892430924884644,0.015519220668687378,0.00029583365111783956,-0.022914999221641117,-0.0082475676299732,0.0324941341044384,-0.011607515860669871,0.0022504761672859923,-0.004691303150386262,-0.011853252909870883,-0.008623093870260827,0.05954882613583944,0.0198026478081183,0.008035562035138671,-0.026354037862584473,-0.028993851287021578,-0.01958346294468135,-0.004753407302082577,0.004081891269840002,-0.0020398046752663707,-0.0073244247050491635,-0.0026028353562002355,-0.017011706921802115,0.0052710731317708965,0.006904051677067476,0.0021262113271404816,0.000839459487384886,-0.006883506726039141,0.01736899570858491,-0.001772947462531565,0.009446137772197796,0.006610957640551381,0
0.8206412262687698,0.7906905779984169,0.7900011874444718,0.7853169286502395,0.789759921978066,0.7811269744480501,0.7710622636304304,0.7848843413452796,0.7903624690038923,0.7969937573255189,0.8065521691910601,0.8075775405639994,0.8233762584934086,0.8229396076229925,0.8283836700651446,0.8492651450192759,0.8518948260942447,0.8684466604320586,0.8792529832875077,0.8807237358857744,0.8720039638863551,0.8634443608346817,0.8806315627272335,0.8930287231721867,0.8979406551176536,0.9096628212017407,0.9261484384990206,0.9371663268366104,0.9441846820174324,0.9616206180264372,0.8595991846466632,0.8398821839187609,0.8504193194745708,0.8549641804903011,0.8535355275734543,0.8516324944132485,0.8471824887897714,0.9335862693987808,0.8786999363028234,0.8960410491272691,0.8643114722080767,0.903905110889072,0.8766222615904525,0.8746953801659958,0.8649981304918403,0.8581225815692569,0.8492665790341691,0.8657466637042001,0.8745608115321042,0.8833589745327953,0.8881284236515179,0.9058556697200632,0.9035435723222434,0.9105568981917758,0.9102902558319736,0.9181653777980766,0.9283510805702276,0.9347196884682487,0.9364696611732187,0.9376993541876433,-0.034705603051350585,-0.0007988379649282883,-0.005427930134765941,0.005148361444582861,-0.010003511357597005,-0.011662580900083855,0.01601646609403515,0.006347833351327855,0.007684069410852759,0.01107590209775727,0.0011881589850152826,0.01830691703995863,-0.0005059734147955118,0.006308359952633206,0.024196610849393903,0.003047168352274336,0.019179597954429067,0.012521931014000466,0.0017042487829123667,-0.010104120050372324,-0.009918522734700414,0.019915836247083027,0.014365329440710025,0.005691748598422287,0.013583173203600848,0.019102868318954653,0.012767084560470229,0.008132586873590558,0.020204059307666476,-0.02284726508918753,0.01221000762979148,0.005266401612135654,-0.0016554653703211544,-0.0022051580605364053,-0.005156487009917201,0.1001212155705013,-0.063600068759048,0.020094182026424948,-0.036766953810306154,0.04587951135539928,-0.03161426521792442,-0.002232792467147091,-0.011236781749870141,-0.007967108742134441,-0.010261978499769163,0.01909645733367632,0.010213478953441147,0.010194956380470584,0.005526645246335072,0.020541617653650236,-0.0026791651980442705,0.008126759110542992,-0.00030897441058483664,0.009125373663683926,0.011802781496360302,0.007379685932113963,0.0020277977792389377,0.0014249186611389557,0
0.9182973524456066,0.8621955427348345,0.8381654837646191,0.8228743451499855,0.8850993239858592,0.9014578783981932,0.9185565914438374,0.9391973901389636,0.9324806290180996,0.8816752227307685,0.9214007437275172,0.8917755916674618,0.8626172617825719,0.8482034256641783,0.8424582227650937,0.8552949720409063,0.8603697406713018,0.8635022984121006,0.8671406060420086,0.8627793379191933,0.8615142935346961,0.8615248867640125,0.8682594096496977,0.873160556412489,0.8784952287070779,0.8869405005961445,0.8913484767613249,0.8978592983248066,0.8939336806410916,0.9026600600335316,0.9019407312075054,0.8706700876213932,0.8427378414045973,0.8427050608105408,0.8423874648851555,0.845906617553338,0.8496021528297071,0.8606102570676122,0.8644394341746499,0.8734899268325573,0.9299844659905568,0.914502071353202,0.9005198514356568,0.8931179445874972,0.8904897149296065,0.8869389034938181,0.8808641705615454,0.8792622126916553,0.8781076388429638,0.871270208747063,0.8707153203568039,0.8748141930898852,0.8752476403935153,0.8683688396715822,0.8658085554904704,0.8657593759460711,0.8725501670165343,0.8746106636993768,0.8793937907386324,0.8710571205924168,-0.06500851402978754,-0.027845062998064267,-0.017718754604986803,0.07210379541247518,0.018955632973406012,0.019813298940793957,0.023917724908979053,-0.007783111842764375,-0.058871255391692835,0.04603233126295913,-0.034328431172887974,-0.0337874964672142,-0.016702171861413876,-0.006657309366570985,0.01487470724555414,0.005880437180329384,0.0036298815473458034,0.004215924117651879,-0.005053661573688354,-0.0014658824027577566,1.2275006816745797e-05,0.007803693459356174,0.005679251163795918,0.006181603062271771,0.009786040395419585,0.005107784969048465,0.007544477390963303,-0.004548847418345758,0.010111776430872669,-0.036235160376616685,-0.032366760171007376,-3.798483007260403e-05,-0.0003680173469921518,0.004077852154537235,0.004282237205893264,0.012755747140431595,0.004437095968360596,0.010487345808652055,0.06546359307111642,-0.017940374369134322,-0.01620203241862236,-0.008577031073801006,-0.0030454865087121007,-0.004114537057371592,-0.007039155476281028,-0.001856284159045332,-0.0013378736020822797,-0.00792293818343113,-0.0006429822832648332,0.0047496083807018865,0.000502261250830966,-0.00797087679604813,-0.0029667540310395818,-5.6987272220649426e-05,0.007868894762102407,0.00238762043872498,0.00554249466890187,-0.00966019707663561,0
0.8936582051045978,0.8596794635841786,0.9161395510683247,0.8889591507925337,0.9407155098835237,0.8922644448989001,0.8499141801088969,0.8399313105836068,0.8451477764049905,0.8425655649689543,0.8485527153458846,0.8506626234611845,0.8448397007515844,0.8462011706479288,0.8371691732606592,0.8383777794955747,0.8429832359478555,0.8594138041379075,0.864426453324386,0.8640752792861298,0.8643633463273023,0.8659123022601268,0.8716498421469855,0.8790827247468747,0.8807074926809525,0.8925795362351185,0.9291202208644774,0.9390670225809128,0.9302711579395097,0.9330963395202119,0.8484140961375924,0.8420116048488091,0.8443174697142763,0.8578955868028542,0.8619636610189669,0.9217785461124247,0.8924588107678926,0.88426997645565,0.8991948416539145,0.9261380351796124,0.8598845362236541,0.8466987350008943,0.8440110839243895,0.8441334322742985,0.8458354096125229,0.8399789318359232,0.8418483445452293,0.8355083888673537,0.8368308060570372,0.8343316134764016,0.8477456725275851,0.8438463803625326,0.8527254628726475,0.8710214913763691,0.8662375358445907,0.8658545113449441,0.8638305928478994,0.8658605468815722,0.8739221200400972,0.8764488075117166,-0.03937319502227328,0.06542367186118396,-0.03149555142291105,0.05997318114055964,-0.056143139660720626,-0.04907377849234536,-0.01156774651188736,0.006044630169393865,-0.002992162449533314,0.006937668344099595,0.002444876413473196,-0.0067473679478955734,0.0015776163962254626,-0.010465914235108502,0.0014004841516530241,0.00533661715968113,0.019039079634097473,0.005808455674523808,-0.00040692630969595535,0.000333800467117208,0.0017948676523925795,0.006648429777118281,0.008612924525389726,0.0018827155413021046,0.013756845170095585,0.0423418713519611,0.011525952589908033,-0.010192293134440117,0.003273706452120311,-0.007418948638523975,0.0026719431909651486,0.015733774361318353,0.00471392030160492,0.06931107600333886,-0.033974526602993015,-0.009488890875703898,0.017294331745019695,0.031220685809468622,-0.07677188202315553,-0.015279174561443495,-0.003114341651631018,0.00014177233252515482,0.0019721826843154293,-0.006786250205973627,0.002166200038232407,-0.0073464848951969785,0.0015323636950746,-0.002895963548751486,0.015543670525441654,-0.0045183424692518135,0.010288722643819092,0.02120069979570016,-0.00554345469261711,-0.0004438333395553526,-0.0023452351125317567,0.0023522288489118636,0.009341425784300523,0.0029278235193208007,0
0.8952777590146417,0.9218421681111703,0.8751091713521398,0.852833481660794,0.8391235003835157,0.8358339526348638,0.8401506151063749,0.8505818157987929,0.9011887269952512,0.9389778054628694,0.9617901964951354,0.9491137561485486,0.8498969767092259,0.8425120105247844,0.83207884380348,0.8448358599702974,0.84939433976705,0.8463209820836609,0.8572415972764112,0.8572157498236629,0.8541615969824793,0.835941116359225,0.843447166380939,0.8412971867658007,0.846665513322316,0.852406524088597,0.8674454807908201,0.886126853371831,0.9060593750277662,0.9177981184566514,0.879127750217728,0.8774044165096134,0.8741599462319306,0.8534704558728504,0.8594886796854939,0.8616606296617099,0.8653168632274825,0.86708818990865,0.8665783886174686,0.870820045606772,0.9753137030466857,0.9079888078924723,0.8928204502353365,0.8920326637221303,0.8853118442484562,0.8838158578441103,0.87448859244059,0.8722784332242252,0.8714786880618671,0.8688286569046276,0.8718832722513526,0.8630005923797979,0.867591816680179,0.8648790712517234,0.8811965804541559,0.8763096958845831,0.8704959143245234,0.8677990474278864,0.8709178521790601,0.8676645349528699,0.030781765692544302,-0.05415231150520457,-0.025812170646341948,-0.015886573263980432,-0.0038117952357039383,0.005001974344282208,0.012087254583346882,0.05864124728738444,0.04378845977339647,0.0264340785104712,-0.014688947724989672,-0.1149684017578685,-0.008557400916045468,-0.012089532738313835,0.014782315735164926,0.005282182506223087,-0.003561282908861251,0.012654368364083426,-2.995098559731938e-05,-0.0035390291124080086,-0.02111315795930311,0.008697707982336074,-0.0024913096510617706,0.006220600263429629,0.006652451692182619,0.01742653637752656,0.02164722096825942,0.023097002046800538,0.01360238236204749,-0.0019969295842601456,-0.003759561280702744,-0.023974146845019896,0.006973674987948028,0.0025167680192270028,0.004236695969026351,0.0020525419054690827,-0.0005907371715996608,0.004915061017108731,0.12108303512359113,-0.07801337271917437,-0.01757648098423835,-0.000912855233374109,-0.0077878144982927704,-0.0017334886995030274,-0.010808058901669899,-0.00256104334540797,-0.0009267124336173222,-0.003070749206717633,0.003539565045172645,-0.010292891121143398,0.0053201255161635826,-0.003143419974403135,0.01890807143987448,-0.005662724709609929,-0.006736775552548598,-0.0031250205722478264,0.003613945137743397,-0.003769812767760546,0
0.9469842009939808,0.9431799194911356,0.9371147613973857,0.9486629458443654,0.9125749463249748,0.9206370692861076,0.8548314570087282,0.839289804142134,0.8306902727601354,0.82607290327522,0.8208595784474273,0.8177105814260325,0.8242713786775805,0.8267342409964464,0.8347642046033555,0.845127422944614,0.8498309963583043,0.8563895542597484,0.8595700821379333,0.862868470370961,0.8661717998881713,0.8733702768573028,0.8794484184913209,0.8907343785960015,0.8930931161554544,0.8917389613263824,0.8880433705428931,0.8827069469027067,0.8814610597100166,0.8787321503521103,0.8580777462094965,0.8611833480453894,0.871886298454905,0.8739474068011307,0.8763317528905329,0.8682391931361455,0.8648113600124204,0.858909653177593,0.859268585499738,0.8581458352613417,0.8545108900987193,0.8545748742796794,0.852983767470084,0.8505165282774636,0.8443299381936397,0.8630020226326699,0.8577779939698542,0.8612312274645653,0.8659288218712772,0.8789444681661864,0.8744274702679594,0.8813717288095978,0.8807513695440435,0.8738316962103954,0.8655248103659439,0.8583231848359355,0.849206929860448,0.8487640243363056,0.8510649847514506,0.8463444160736966,-0.004408247946473883,-0.007028060539635482,0.013381570300679692,-0.04181731810716972,0.009342062873384155,-0.07625288900709677,-0.018009040414788537,-0.009964790073232166,-0.005350421501344095,-0.0060409905127236305,-0.0036489307225645953,0.007602387202350119,0.002853865506921238,0.009304797910970011,0.012008479377129472,0.005450311136671044,0.0075997923337816865,0.003685467407505251,0.003822039232386803,0.003827764993173509,0.00834130473604028,0.007043105342361697,0.01307771531056103,0.002733209935950419,-0.0015691399913491308,-0.0042823015253052035,-0.006183632450903549,-0.0014436838216640682,-0.003162150083821934,0.0035986461321017927,0.01240214719354245,0.0023883292095798463,0.002762884067445902,-0.009377331801633046,-0.0039720347501135695,-0.006838659814175369,0.0004159162961087759,-0.001300997686189002,-0.004212027826198216,7.414228787041565e-05,-0.0018437103880913242,-0.0028589372516713576,-0.0071687710313485,0.02163645824400204,-0.006053393684971474,0.004001467675399163,0.005443382904568732,0.015082005894845452,-0.005234114955529398,0.008046726677052144,-0.0007188472925597643,-0.008018238329763644,-0.009625684229205452,-0.008344953161375991,-0.010563548529510393,-0.0005132210552301014,0.002666260111769879,-0.005470004563104504,0
0.853679263160071,0.8563496020311574,0.9240046581398297,0.9135056711070209,0.9019546690417285,0.9493117796864278,0.9366558672545778,0.8838365065594121,0.8831686687485292,0.8804196785262663,0.8810789537214231,0.871416299336894,0.8699827971413572,0.8716608312255438,0.8750746654501539,0.874118373976926,0.866520007478744,0.8690778053199464,0.8733283064063985,0.8831867334571418,0.8935293351950669,0.8939848923313419,0.898385800146634,0.8947807386588184,0.8864716836718989,0.8879020417442955,0.8988729069489504,0.9030909711838054,0.9058714179711762,0.9073742677938353,0.8559627703615474,0.8612885251470462,0.8638669172385172,0.8704537586424955,0.8743037183501919,0.8739714604811983,0.908519948759229,0.8992301099371947,0.8987316563297524,0.8966699040026918,0.8922287243240005,0.8907037372173596,0.8885012061105235,0.8847557095948696,0.8758321656909889,0.873940227935337,0.8662126803890868,0.868583994871067,0.8603673869402475,0.8613602449989601,0.8565452124812174,0.8714228427616512,0.8738060835367204,0.8663263484021715,0.8551086756999471,0.8578229632304734,0.8647653797952151,0.868873845929786,0.8733963545862714,0.8742600772989503,0.003094280966340711,0.07839594991500229,-0.012165802660192229,-0.013384835243122003,0.05487550950009737,-0.014665160805457983,-0.06120494451958428,-0.0007738635156731751,-0.0031854189794060517,0.0007639415019727696,-0.011196694123773278,-0.0016610845188545732,0.0019444382073714906,0.003955813390513817,-0.001108111983809263,-0.008804680591358742,0.0029638729606478223,0.004925309200127023,0.011423547592205966,0.01198458968882979,0.0005278812330222611,0.0050995944503245344,-0.004177399829294852,-0.009628197743997507,0.0016574412357889578,0.012712596050868146,0.004887722684950468,0.003221869578142389,0.0017414417517844388,0.0061712698124572465,0.002987736747117727,0.007632566115604157,0.0044611780076648545,-0.00038500701580454055,0.040033394582261884,-0.010764690488776315,-0.0005775879334314659,-0.0023890754285940514,-0.005146259861124886,-0.0017670935434774529,-0.002552204199792622,-0.004340130274614908,-0.010340242713408701,-0.002192301153311386,-0.008954370378889898,0.0027477835664407105,-0.009521073824564673,0.0011504838680278023,-0.005579465450353559,0.01723959782762342,0.0027616032737836035,-0.008667215352592293,-0.01299858662320648,0.0031452069000764025,0.008044592268526824,0.0047607248273646655,0.005240500599903284,0.0010008470381706047,0
0.8661846880809254,0.8414287170888907,0.8255540783845223,0.9216029693493437,0.9305146626468614,0.899087730450105,0.8726505944226831,0.8558192138834679,0.9047886501781988,0.8539118037190917,0.8929446377125203,0.8474271505539565,0.8412409620540772,0.8892270136259821,0.8573160876789043,0.8459998744326098,0.844526301590956,0.8436659103123274,0.8471489994344404,0.8468862845446715,0.8490301829948822,0.858266072533305,0.874770512079097,0.8875681378732629,0.9018621715663426,0.907409375078866,0.906130190256895,0.9056113156327993,0.8995126387864628,0.8843968229172209,0.8600857210323619,0.8442646979996903,0.9503564121589003,0.8728340892429081,0.8615380037894627,0.8724226194435291,0.8861874778644222,0.8988470610889322,0.893220590667579,0.8968347334234987,0.8727514404819968,0.867531137633943,0.8579170432790708,0.8578674213113578,0.8562560856203477,0.8575390969923314,0.8549182850103352,0.8462185552892555,0.842360418263213,0.8416834495823378,0.8457827298108354,0.8540670711011779,0.8572978492689839,0.8577043399839067,0.8666096422506275,0.8672138397574467,0.8699716157931625,0.8754484987734087,0.876911205190644,0.8673503245816006,-0.02868622056674389,-0.018394890971450827,0.11129758038149712,0.010326510708791009,-0.03641626131418244,-0.030634286794068703,-0.019503524816137326,0.056743807424549826,-0.05895403738095711,0.04522967350546894,-0.052743828012022376,-0.007168305692072844,0.05560430087600739,-0.03697709374847117,-0.013112771430696866,-0.0017075167671849714,-0.0009969867067781025,0.0040360631721013205,-0.00030442341673872557,0.002484263042448731,0.010702176235160564,0.019124678781269073,0.014829372533204814,0.016563349643610555,0.006427875664422957,-0.0014822677712983377,-0.0006012509837761273,-0.007066900718036588,-0.017515597679884032,-0.01833276329386469,0.12293479878669476,-0.08982974066054668,-0.013089448156268366,0.012612653550823912,0.015950162684339533,0.014669414371918144,-0.0065197269608664975,0.004187922836449016,-0.027906748376612396,-0.0060490763611194135,-0.011140424720245632,-5.749993450984271e-05,-0.0018671507998719663,0.0014867018230958705,-0.0030368912051036054,-0.01008089586670814,-0.0044706535543036175,-0.0007844439994945181,0.004750080569952628,0.009599560509317465,0.0037436954160968284,0.0004710250432253815,0.010319105040108115,0.0007001196984788294,0.003195599625628789,0.006346391068245162,0.0016949251929042298,-0.011078762778142308,0
0.8382078349746466,0.8341706181219386,0.8557157562272577,0.9189389815009628,0.9015049836523762,0.8785876981606279,0.880113930132129,0.8403018512494854,0.8305545412040078,0.818257697026645,0.8148585395515898,0.8239711332963529,0.8279928736087171,0.8325059305367074,0.842996618329694,0.8413261485495265,0.8408441872492289,0.8307901859658742,0.8272401820662781,0.826816022426375,0.8217409514448953,0.8245389553704582,0.8329158040264869,0.8368836002985046,0.8387590111205255,0.8508942726381172,0.8422832321344866,0.8450185593559758,0.8449488537210161,0.8482175229206451,0.8402491383882787,0.8486554266498894,0.855551886302447,0.8347256754299058,0.8397863798867264,0.8439520895059649,0.9112350515369866,0.8778282166925052,0.898553246071137,0.9191443123617432,0.884511914407516,0.8665399287001023,0.8636257237181288,0.8554626121859507,0.854357891612663,0.8470976945995581,0.850656875595132,0.8358780705392225,0.8315809421838372,0.8315065851911948,0.8371665189094056,0.8449588854194803,0.8466879452932782,0.8493585783381385,0.8538602999461669,0.8630991476857789,0.8713145406284282,0.8655001537112862,0.861196350531351,0.8592179285017301,-0.004678164033631226,0.02496563693781187,0.07326052311686655,-0.020201813445556462,-0.026555625978833715,0.0017685360426616134,-0.04613263104951844,-0.011294789688797695,-0.014249086996434497,-0.0039388065651676935,0.010559306043035437,0.004660230442981432,0.005229548318191885,0.012156185835865092,-0.0019356729970067162,-0.0005584773131872111,-0.011650171123784029,-0.004113601317006675,-0.0004914990807546045,-0.005880787532569324,0.0032422140816505715,0.009706754313066154,0.004597722265049716,0.0021731504092915403,0.014061851528294433,-0.009978126379118477,0.0031695868452546153,-8.077207797027895e-05,0.003787602015305601,0.009740867740464725,0.00799133925252104,-0.02413257306091765,0.005864140183318512,0.004827056268280848,0.07796478230753918,-0.038710492636056096,0.02401532802728544,0.023860097004752057,-0.04013062573024766,-0.02082521207473999,-0.0033768631784425905,-0.009459084355783886,-0.0012801056375508324,-0.008412823433302366,0.00412423536563564,-0.017125083143906435,-0.0049793389984927215,-8.61618836241165e-05,0.006558502879405776,0.009029479979469575,0.00200356483406902,0.0030946218430434177,0.005216413406669713,0.010705604079369222,0.009519665945283862,-0.006737477015916227,-0.004987073515928683,-0.0022925156413404263,0
